,City,Cloudiness,Country,Date,Humidity,lat,lon,Max Temp,Wind Speed
375,Namatanai,56,PG,1554849271,100,-3.66,152.44,28.19,0.97
376,Longonjo,32,AO,1554849271,94,-12.91,15.25,13.66,1.12
377,Atasu,32,KZ,1554849271,76,48.68,71.64,1.54,4.57
378,Guaruja,90,BR,1554849008,88,-23.99,-46.26,22.22,3.6
379,Sorland,0,NO,1554849272,100,67.67,12.69,1.34,3.57
380,Camopi,92,GF,1554849272,98,3.17,-52.33,23.06,1.17
381,Massaguet,0,TD,1554847200,20,12.48,15.44,34.0,2.6
382,Petrolina,20,BR,1554847200,65,-9.38,-40.5,28.0,1.5
383,Kapuskasing,90,CA,1554843600,69,49.42,-82.43,1.0,4.6
384,Xuddur,8,SO,1554849273,55,4.12,43.89,25.31,4.82
385,Syosset,90,US,1554848945,93,40.83,-73.5,8.33,3.6
386,Macau,0,BR,1554849273,67,-5.11,-36.64,26.56,4.02
387,Bom Jesus,40,BR,1554847200,83,-5.99,-35.58,28.0,3.1
388,Menongue,64,AO,1554849274,97,-14.66,17.68,16.61,1.07
389,Machinga,24,MW,1554849274,93,-15.18,35.3,21.56,1.97
390,Pasighat,92,IN,1554849274,97,28.06,95.33,14.04,0.77
391,Nueva Loja,20,EC,1554847200,52,0.08,-76.88,31.0,2.1
392,Yeppoon,44,AU,1554847200,73,-23.13,150.74,22.0,1.82
393,Calvinia,20,ZA,1554849275,67,-31.47,19.78,9.36,1.12
394,Ayabaca,36,PE,1554849043,86,-4.64,-79.72,16.66,0.27
395,Waycross,90,US,1554849046,78,31.21,-82.35,28.89,2.62
396,Ostrovnoy,8,RU,1554849276,75,68.05,39.51,-9.39,3.67
397,Rocha,0,UY,1554849176,78,-34.48,-54.34,17.06,3.67
398,Cayenne,90,GF,1554847200,94,4.94,-52.33,24.0,1.0
399,Goderich,48,CA,1554849254,80,43.74,-81.71,6.11,6.26
400,Nyazepetrovsk,0,RU,1554849276,64,56.06,59.6,-5.94,2.12
401,Aneho,20,TG,1554847200,88,6.23,1.6,28.0,4.6
402,Port Macquarie,40,AU,1554849005,59,-31.43,152.91,21.67,4.1
403,Hegang,36,CN,1554849277,54,47.34,130.28,6.79,1.62
404,Gamba,0,CN,1554849277,71,28.28,88.52,-15.24,2.97
405,Rio Gallegos,20,AR,1554847200,71,-51.62,-69.22,10.0,6.2
406,Grants,1,US,1554846900,9,35.15,-107.85,25.0,9.3
407,Ismailia,0,EG,1554849278,98,30.6,32.27,11.11,1.52
408,Kupang,80,ID,1554849278,100,-10.16,123.6,26.46,2.02
409,Stephenville,1,US,1554848927,22,32.22,-98.2,31.67,5.7
410,Nicolas de Pierola,0,PE,1554849128,69,-11.95,-76.7,23.0,8.7
411,Maniitsoq,0,GL,1554849124,73,65.42,-52.9,-0.47,4.02
412,Conceicao do Araguaia,80,BR,1554849012,94,-8.26,-49.26,25.01,1.72
413,Kumeny,24,RU,1554849126,91,58.11,49.92,0.46,3.82
414,Nizwa,0,OM,1554849051,57,22.93,57.53,18.04,1.42
415,Tabas,92,IR,1554847200,64,33.6,56.92,20.0,1.0
416,Savannah Bight,88,HN,1554849280,100,16.45,-85.85,25.54,4.37
417,Manavalakurichi,20,IN,1554847200,79,8.13,77.3,29.0,2.1
418,Batagay-Alyta,0,RU,1554849280,74,67.8,130.41,-9.49,2.07
419,Yar-Sale,64,RU,1554849185,79,66.83,70.83,-11.82,6.17
420,Kirensk,12,RU,1554849281,64,57.78,108.12,-2.49,3.22
421,Maunabo,20,PR,1554849157,69,18.01,-65.9,28.0,4.6
422,Totness,75,US,1554849274,73,33.74,-80.8,24.0,2.6
423,Ylivieska,64,FI,1554849019,10,64.07,24.53,-2.78,4.67
424,Usinsk,0,RU,1554849281,61,66.0,57.56,-15.34,3.07
425,Coahuayana,0,MX,1554849282,20,18.62,-100.35,29.81,1.22
426,Portmore,20,JM,1554847200,58,17.97,-76.87,29.0,6.2
427,Puro,68,PH,1554849282,96,13.13,123.76,25.94,1.67
428,Guerrero Negro,8,MX,1554849282,65,27.97,-114.04,21.19,5.77
429,Ciofrangeni,92,RO,1554849282,93,45.08,24.53,9.16,1.52
430,Upernavik,92,GL,1554849283,100,72.79,-56.15,-5.14,6.97
431,Mana,75,RS,1554847200,100,43.52,20.24,11.0,1.0
432,Karavukovo,0,RS,1554847200,76,45.5,19.2,13.0,3.6
433,Barentu,0,ER,1554849283,53,15.11,37.59,17.56,0.87
434,Dandong,92,CN,1554849283,77,40.12,124.37,6.94,1.67
435,Alta Floresta,20,BR,1554843600,70,-9.87,-56.08,29.0,2.6
436,Rocky Mountain House,76,CA,1554849068,50,52.38,-114.92,7.76,2.22
437,Mahebourg,75,MU,1554847200,88,-20.41,57.7,24.0,4.6
438,Moussoro,0,TD,1554849284,19,13.64,16.49,28.81,6.02
439,Dhone,0,IN,1554849284,77,15.4,77.87,22.61,1.72
440,Nabire,80,ID,1554849284,95,-3.36,135.5,22.06,0.97
441,Luanda,40,AO,1554847200,83,-8.83,13.24,27.0,4.1
442,Yaan,20,NG,1554849285,84,7.38,8.57,26.29,4.22
443,Gotsu,92,JP,1554849285,100,35.01,132.22,9.11,5.92
444,Buckeye,1,US,1554849246,16,33.37,-112.58,36.11,8.2
445,Acari,8,BR,1554849285,71,-6.44,-36.64,23.61,3.47
446,Saint Anthony,90,US,1554849129,81,43.97,-111.68,8.0,6.2
447,Mandalgovi,88,MN,1554849286,67,45.76,106.27,-2.34,3.57
448,Palmerston,90,CA,1554849254,65,43.83,-80.85,8.33,6.7
449,Laramie,1,US,1554849215,17,41.31,-105.59,20.0,9.8
450,Puerto del Rosario,40,ES,1554847200,59,28.5,-13.86,18.0,7.7
451,Port Blair,0,IN,1554849287,100,11.67,92.75,28.96,2.57
452,Iracoubo,100,GF,1554849209,83,5.48,-53.21,25.06,1.87
453,Klaksvik,80,FO,1554846600,80,62.23,-6.59,4.0,0.5
454,Zhigansk,0,RU,1554849287,60,66.77,123.37,-8.64,1.67
455,Dudinka,80,RU,1554849126,83,69.41,86.18,-13.74,7.97
456,Berdigestyakh,0,RU,1554849183,53,62.1,126.7,-4.19,2.42
457,Byron Bay,90,AU,1554849174,78,-28.65,153.62,25.56,6.2
458,Chipinge,0,ZW,1554849288,89,-20.19,32.62,17.56,1.22
459,Mwanza,75,TZ,1554843600,88,-2.52,32.9,22.0,4.72
460,Angoche,92,MZ,1554849288,100,-16.23,39.91,27.96,4.67
461,Lezajsk,0,PL,1554849155,61,50.26,22.42,9.44,4.1
462,Sorong,68,ID,1554849289,95,-0.86,131.25,28.86,4.02
463,Maceio,20,BR,1554847200,88,-9.67,-35.74,26.0,3.1
464,Tucuman,0,PE,1554849289,76,-17.17,-70.89,14.46,0.47
465,Stromness,75,CA,1554849274,61,42.87,-79.55,10.0,6.7
466,Simpang,75,MY,1554847200,83,4.82,100.71,27.0,1.0
467,Biak,44,ID,1554849290,94,-0.91,122.88,27.71,1.27
468,Knysna,8,ZA,1554847380,93,-34.04,23.05,18.0,1.0
469,Kapan,0,AM,1554849290,89,39.21,46.4,0.11,0.52
470,Imeni Morozova,75,RU,1554849036,85,59.98,31.04,1.67,1.0
471,Imbituba,0,BR,1554847200,73,-28.24,-48.67,21.0,1.0
472,Labuhan,64,ID,1554849291,93,-2.54,115.51,24.79,0.62
473,Quetigny,0,FR,1554849124,81,47.31,5.12,9.0,2.1
474,Pointe-Noire,20,CG,1554847200,94,-4.8,11.85,28.0,2.6
475,Itaperuna,92,BR,1554849019,99,-21.2,-41.89,19.71,1.12
476,Olga,1,US,1554849289,25,34.11,-118.17,26.67,10.3
477,Puerto Penasco,0,MX,1554849111,70,31.32,-113.53,24.44,2.24
478,Puerto Baquerizo Moreno,75,EC,1554847200,83,-0.9,-89.6,28.0,4.1
479,Porto Belo,20,BR,1554849026,68,-27.15,-48.54,22.22,2.6
480,Litovko,0,RU,1554849292,45,49.24,135.18,7.34,1.52
481,Trincomalee,32,LK,1554849292,90,8.58,81.23,24.69,1.42
482,Monte Alegre,92,BR,1554849293,92,-2.0,-54.07,23.91,1.07
483,Dungarvan,75,IE,1554849149,93,52.09,-7.62,8.33,2.6
484,Karratha,88,AU,1554849293,59,-20.74,116.85,28.96,1.97
485,Petropavlovsk-Kamchatskiy,80,RU,1554847200,68,53.05,158.65,-3.0,2.0
486,Duncan,1,US,1554849192,25,34.5,-97.96,32.0,8.2
487,Mahenge,92,TZ,1554849294,96,-8.68,36.72,21.69,1.37
488,Port Augusta,0,AU,1554849293,62,-32.49,137.76,14.0,3.1
489,Nador,0,MA,1554847200,67,35.17,-2.93,16.0,5.1
490,Ponce,56,PR,1554849029,73,18.01,-66.61,27.78,2.24
491,Bosansko Grahovo,92,BA,1554849107,96,44.18,16.37,12.22,0.67
492,Kulhudhuffushi,88,MV,1554849295,100,6.62,73.07,29.36,0.42
493,Pampa,1,US,1554849083,21,35.54,-100.96,32.0,10.3
494,Aquiraz,20,BR,1554848895,78,-3.9,-38.39,28.0,3.6
495,Alice Springs,12,AU,1554847200,32,-23.7,133.88,21.0,2.6
496,Kannur,0,IN,1554849296,83,11.88,75.37,22.94,1.62
497,Luang Prabang,0,LA,1554849296,82,19.89,102.14,22.01,0.82
498,Alma,1,US,1554849185,43,40.1,-99.36,27.78,7.2
499,Fujin,0,CN,1554849297,59,47.24,132.03,7.59,2.12
500,Kudahuvadhoo,32,MV,1554849297,100,2.67,72.89,28.71,0.27
501,Santa Fe,0,AR,1554849000,56,-31.62,-60.7,24.44,1.34
502,Salair,20,RU,1554849297,68,54.23,85.8,-7.67,0.97
503,Nago,75,IT,1554849248,71,45.88,10.89,13.89,2.1
504,Mehamn,20,NO,1554844800,79,71.03,27.85,-4.0,3.6
505,Myanaung,0,MM,1554849298,86,18.28,95.32,21.19,0.57
506,Iquitos,40,PE,1554847200,59,-3.75,-73.25,32.0,1.0
507,Talnakh,76,RU,1554849298,89,69.49,88.39,-13.74,9.17
508,Deputatskiy,8,RU,1554849298,82,69.3,139.9,-9.74,1.77
509,Fort Frances,75,CA,1554849052,54,48.61,-93.4,0.0,4.6
510,Boa Vista,40,BR,1554847200,41,2.82,-60.67,33.0,2.6
